橋, はし, bridge
鏡, かがみ, mirror
未来, みらい, future
芸術, げいじゅつ, art
哲学, てつがく, philosophy
秘密, ひみつ, secret
宇宙, うちゅう, universe
科学, かがく, science
冒険, ぼうけん, adventure
希望, きぼう, hope
危機, きき, crisis
影, かげ, shadow
嵐, あらし, storm
奇跡, きせき, miracle
魂, たましい, soul
絶望, ぜつぼう, despair
愛情, あいじょう, affection
孤独, こどく, loneliness
探検, たんけん, exploration
幻想, げんそう, illusion
恐怖, きょうふ, fear
冒険者, ぼうけんしゃ, adventurer
友情, ゆうじょう, friendship
正義, せいぎ, justice
悪夢, あくむ, nightmare
未来図, みらいず, future vision
歴史, れきし, history
戦略, せんりゃく, strategy
知恵, ちえ, wisdom
感情, かんじょう, emotion
勇気, ゆうき, courage
記憶, きおく, memory
影響, えいきょう, influence
現実, げんじつ, reality
価値, かち, value
理想, りそう, ideal
知識, ちしき, knowledge
魅力, みりょく, charm
態度, たいど, attitude
運命, うんめい, destiny
挑戦, ちょうせん, challenge
証拠, しょうこ, evidence
責任, せきにん, responsibility
条件, じょうけん, condition
意識, いしき, consciousness
規則, きそく, rule
能力, のうりょく, ability
技術, ぎじゅつ, technology
習慣, しゅうかん, habit
現象, げんしょう, phenomenon
制度, せいど, system
感覚, かんかく, sense
資源, しげん, resource
現場, げんば, scene
象徴, しょうちょう, symbol
状況, じょうきょう, situation
概念, がいねん, concept
犬, いぬ, dog
猫, ねこ, cat
本, ほん, book
水, みず, water
花, はな, flower
山, やま, mountain
家, いえ, house
学校, がっこう, school
車, くるま, car
友達, ともだち, friend
食べ物, たべもの, food
道, みち, road
手, て, hand
足, あし, foot
目, め, eye
味, あじ, flavor
言葉, ことば, word
定義, ていぎ, definition
東, ひがし, east
図書館, としょかん, library
手続き, てつづき, procedure
過去, かこ, the past
先, さき, before
初め, はじめ, beginning
質問, しつもん, question
南, みなみ, south
特別, とくべつ, special
声, こえ, voice
練習, れんしゅう, practice
左, ひだり, left
右, みぎ, right
武器, ぶき, weapon
仕事, しごと, work
周り, まわり, surroundings
